rectangle_coordinates,buildings_num,district_num
"[[33.77031373124869, -14.012181725303705], [33.779582935417906, -14.012181725303705], [33.779582935417906, -14.021174941362894], [33.77031373124869, -14.021174941362894]]",5022,lilongwe_city_2
"[[33.686808881002825, -14.004763391970405], [33.69607778566377, -14.004763391970405], [33.69607778566377, -14.013756608029594], [33.686808881002825, -14.013756608029594]]",1094,lilongwe_city_3
"[[33.79783220059782, -13.922593391970405], [33.80709779940218, -13.922593391970405], [33.80709779940218, -13.931586608029594], [33.79783220059782, -13.931586608029594]]",669,lilongwe_city_4
"[[33.79280267308006, -13.982011725303705], [33.802070660253335, -13.982011725303705], [33.802070660253335, -13.991004941362894], [33.79280267308006, -13.991004941362894]]",2888,lilongwe_city_5
"[[33.765014845792, -13.956866725303705], [33.7742818208746, -13.956866725303705], [33.7742818208746, -13.965859941362893], [33.765014845792, -13.965859941362893]]",974,lilongwe_city_6
"[[33.80485062441366, -14.000960058637105], [33.814119375586344, -14.000960058637105], [33.814119375586344, -14.009953274696294], [33.80485062441366, -14.009953274696294]]",3296,lilongwe_city_7
"[[33.79241358790628, -14.019278391970406], [33.80168307876032, -14.019278391970406], [33.80168307876032, -14.028271608029595], [33.79241358790628, -14.028271608029595]]",3212,lilongwe_city_8
"[[33.74273813158063, -13.876076725303706], [33.75200186841936, -13.876076725303706], [33.75200186841936, -13.885069941362895], [33.74273813158063, -13.885069941362895]]",1671,lilongwe_city_9
"[[33.78805552809307, -14.005733391970406], [33.79732447190693, -14.005733391970406], [33.79732447190693, -14.014726608029594], [33.78805552809307, -14.014726608029594]]",2777,lilongwe_city_10
"[[33.7547436050316, -13.935665058637106], [33.764009728301794, -13.935665058637106], [33.764009728301794, -13.944658274696295], [33.7547436050316, -13.944658274696295]]",1493,lilongwe_city_11
"[[33.822050457040184, -14.009253391970406], [33.83131954295981, -14.009253391970406], [33.83131954295981, -14.018246608029594], [33.822050457040184, -14.018246608029594]]",3271,lilongwe_city_12
"[[33.81257329584897, -13.784090058637105], [33.821833370817636, -13.784090058637105], [33.821833370817636, -13.793083274696293], [33.81257329584897, -13.793083274696293]]",651,lilongwe_city_13
"[[33.68341698298973, -14.016221725303705], [33.69268635034367, -14.016221725303705], [33.69268635034367, -14.025214941362893], [33.68341698298973, -14.025214941362893]]",775,lilongwe_city_14
"[[33.72251659172766, -13.952923391970407], [33.73178340827234, -13.952923391970407], [33.73178340827234, -13.961916608029595], [33.72251659172766, -13.961916608029595]]",2901,lilongwe_city_15
"[[33.77495990365475, -13.953988391970405], [33.78422676301186, -13.953988391970405], [33.78422676301186, -13.962981608029594], [33.77495990365475, -13.962981608029594]]",795,lilongwe_city_16
"[[33.68712536015186, -14.014051725303705], [33.696394639848144, -14.014051725303705], [33.696394639848144, -14.023044941362894], [33.68712536015186, -14.023044941362894]]",881,lilongwe_city_17
"[[33.847424431423704, -13.977460058637106], [33.85669223524289, -13.977460058637106], [33.85669223524289, -13.986453274696295], [33.847424431423704, -13.986453274696295]]",798,lilongwe_city_18
"[[33.77897356078945, -13.854573391970405], [33.78823643921055, -13.854573391970405], [33.78823643921055, -13.863566608029593], [33.77897356078945, -13.863566608029593]]",970,lilongwe_city_19
"[[33.793727224607174, -13.754030058637106], [33.80298610872622, -13.754030058637106], [33.80298610872622, -13.763023274696295], [33.793727224607174, -13.763023274696295]]",181,lilongwe_city_20
"[[33.740697613174845, -13.902000058637105], [33.74996238682516, -13.902000058637105], [33.74996238682516, -13.910993274696294], [33.740697613174845, -13.910993274696294]]",2517,lilongwe_city_21
"[[35.25980709431227, -15.193446725303705], [35.269126239021126, -15.193446725303705], [35.269126239021126, -15.202439941362893], [35.25980709431227, -15.202439941362893]]",150,machinga_1
"[[35.65065629737817, -14.925106725303706], [35.65996370262183, -14.925106725303706], [35.65996370262183, -14.934099941362895], [35.65065629737817, -14.934099941362895]]",824,machinga_2
"[[35.782607142169944, -14.573656725303707], [35.79189952449665, -14.573656725303707], [35.79189952449665, -14.582649941362895], [35.782607142169944, -14.582649941362895]]",231,machinga_3
"[[35.73099248741444, -14.636165058637106], [35.74028751258555, -14.636165058637106], [35.74028751258555, -14.645158274696294], [35.73099248741444, -14.645158274696294]]",247,machinga_4
"[[35.53877245016477, -14.871770058637106], [35.54807754983523, -14.871770058637106], [35.54807754983523, -14.880763274696294], [35.53877245016477, -14.880763274696294]]",127,machinga_5
"[[35.473744703661716, -14.844536725303707], [35.48304862967168, -14.844536725303707], [35.48304862967168, -14.853529941362895], [35.473744703661716, -14.853529941362895]]",114,machinga_6
"[[35.25828285675877, -15.083045058637106], [35.26759714324123, -15.083045058637106], [35.26759714324123, -15.092038274696295], [35.25828285675877, -15.092038274696295]]",106,machinga_7
"[[35.64417700477194, -14.969328391970405], [35.65348632856146, -14.969328391970405], [35.65348632856146, -14.978321608029594], [35.64417700477194, -14.978321608029594]]",224,machinga_8
"[[35.625293625311805, -14.817178391970407], [35.63459637468819, -14.817178391970407], [35.63459637468819, -14.826171608029595], [35.625293625311805, -14.826171608029595]]",254,machinga_9
"[[35.33766877474945, -15.192823391970405], [35.346987891917145, -15.192823391970405], [35.346987891917145, -15.201816608029594], [35.33766877474945, -15.201816608029594]]",344,machinga_10
"[[35.42532300231222, -15.000088391970406], [35.434633664354386, -15.000088391970406], [35.434633664354386, -15.009081608029595], [35.42532300231222, -15.009081608029595]]",285,machinga_11
"[[35.23337843224872, -15.208318391970407], [35.24269823441788, -15.208318391970407], [35.24269823441788, -15.217311608029595], [35.23337843224872, -15.217311608029595]]",138,machinga_12
